"Title", "Description"
"Biomedical Engineering Seminar I", "Seminar series given by instructor, invited experts, and students with focus on biomedical electronics, medical devices, rehabilitation engineering, medical instrumentation, and biomedical ethics."
"Introduction to Biomechanics", "Engineering analysis of the human body in equilibrium, biological tissue mechanics (stress and strain), elementary beam theory (bending and torsion) applied to bones."
"Biomedical Engineering Seminar II", "Seminar series given by instructor, invited experts, and students with focus on physiological system modeling, biomechanics, biomaterials, tissue engineering, artificial organs, and biosensors; assignments involving design and 3D printing."
"Bioelectricity", "Quantitative analysis of electrical phenomena in biological cells, tissues, and organs. Action potentials and propagation in neurons, cardiac and skeletal muscle."
"Biomeasurement", "Principles of biomeasurement, patient safety, embedded system design with microcontrollers, programming with assembly and C++ languages, interrupts, timer, real-time digital filters, electrocardiogram (ECG) instrumentation, QRS detection, heart rate meter."
"Biomeasurement Laboratory", "Constructing and experimenting with embedded systems using microcontrollers, implementing real-time digital filters with assembly and C++ languages, constructing an electrocardiogram (ECG) amplifier, implementing QRS detection and heart rate meter."
"Biomedical Instrumentation Design", "Fundamentals of diagnostic and therapeutic devices, engineering standards, and regulations for medical devices; basic electronics, safety, noise rejection, and biomedical signal processing; design of embedded and handheld systems."
"Biomedical Instrumentation Design Laboratory", "Hands-on applications of electronics, embedded and handheld devices to biomedical instrumentation systems including electrocardiogram, photoplethysmogram, motion sensor, and electronic stethoscope."
"Special Problems", "Independent study of special engineering problems. Topic and number of credits determined in consultation with the instructor."
"Physiological Modeling and Control", "Principles of physiological modeling and control of linear and nonlinear systems, stability analysis, root locus, Bode plots, linearization."
"Biomedical Instrumentation Laboratory", "Development of a portable heart function monitor that measures the electrocardiogram and photoplethysmogram; embedded system design using instrumentation amplifier, op-amp, graphic LCD module, and PIC microprocessor with C programming."
"Medical Imaging", "Engineering and clinical applications of medical imaging systems including X-ray, computed tomography, radioisotope imaging, ultrasound, magnetic resonance imaging; picture archiving and communication system and medical image processing."
"Medical Image Processing Laboratory", "Development of medical imaging processing algorithms with graphical user interface in C++ under the Windows operating system; smoothing and sharpening filters, morphological filters, area measurement and edge tracer."
"Biomaterials Engineering", "A biomaterial is any material designed to interact with a biological system. This course will examine the structure, properties, and processing of biomaterials in a wide variety of biomedical applications."
"Neural Engineering", "Principles and technologies of neuroengineering and clinical applications; brain stimulator, spinal cord stimulation, functional electrical stimulation (FES), neural-machine interface for motor prosthesis control, artificial visual/auditory devices for augmented sensory perception."
"Brain Signal Processing and Applications", "Presents advanced techniques in brain signal processing including time-frequency analysis (e.g., wavelet), spatial filters (e.g., Laplacian filters), data reduction techniques (e.g., PCA), and machine learning algorithms (e.g., LDA)."
"Biomedical Engineering Seminar III", "Seminar series given by instructor, invited experts, and students with focus on biomedical signals and systems, computers in medicine, technologies for health care, and biomedical ethics."
"Biomedical Engineering Capstone Design I", "Applications of engineering skills; team projects in biomedical areas such as neuroengineering, assistive technology, cardiopulmonary measurements, medical imaging, and modeling of physiological systems. First of a two-course sequence."
"Biomedical Engineering Capstone Design II", "Applications of engineering skills; team projects in biomedical areas such as neuroengineering, assistive technology, cardiopulmonary measurements, medical imaging, and modeling of physiological systems.of a two-course sequence. "
"Special Problems", "Independent study of special engineering problems. Topic and number of credits determined in consultation with the instructor. Not for graduate credit."
"Nanotechnology: It's a Small World", "Introduction to fundamental concepts of nanotechnology and its applications, while also providing a basic understanding of the social and ethical implications of implementing nanotechnology in everyday life."
"Chemical Process Calculations", "Orientation to chemical and biological engineering, material and energy balance computations on chemical processes, use of gas laws, vapor pressure, humidity, solubility, and crystallization."
"Chemical Engineering Thermodynamics I", "Applications of the first, second, and third laws of thermodynamics involving thermophysics, thermochemistry, energy balances, combustion, power cycles, refrigeration and properties of pure fluids."
"Materials Science and Engineering", "Fundamentals of physical metallurgy as they apply particularly to the engineering metals and their alloys. Properties, characteristics, and structure of metals, theory of alloys, thermal processing, and studies in corrosion."
"Introduction to Chemical Engineering Calculations", "Introduction to the use of computers and numerical methods, including numerical solution of differential equations as applied to chemical and biological engineering."
"Chemical Engineering Thermodynamics II", "Continuation of Chemical Engineering Thermodynamics with applications to thermodynamics of mixtures, phase and chemical equilibria."
"Chemical Engineering Microlaboratory", "Use of microprocessors, A/D and D/A converters, sensors, and control hardware to analyze and control laboratory-scale processes."
"Engineering Materials", "First course in engineering materials devoted largely, but not exclusively, to physical metallurgy. Includes structure and properties of pure substances and binary systems at equilibrium and, when used intentionally, at nonequilibrium."
"Transfer Operations I", "Dimensional analysis; fluid statics; mass, energy, and momentum balances for fluid systems, boundary layers, turbulence, incompressible flow; flow through fixed beds of solids and fluidized beds; filtration."
"Transfer Operations II", "Heat and mass transfer: conduction, convection, radiation, diffusion, transport analogies and equipment design. Biological applications and some separations are covered."
"Chemical Kinetics and Reactor Design", "Mole balances in batch and continuous chemical reactors; reaction rate fundamentals; isothermal and non-isothermal chemical reactors."
"Process Dynamics and Control", "Principles involved in automatic control of processing plants. Modeling and responses of dynamic systems, feedback control."
"Professional Experience", "Mandatory CHE seminar attendance and written reports. Plant trips may be included."
"Failure Analysis and Prevention", "Failure analysis of engineering components. Examples of overload, fatigue, creep, corrosion, and electrical failures in metals, glasses, ceramics, composites, polymers, concrete, and semiconductors. Case studies, microscopic techniques, and prevention are emphasized."
"Chemical Engineering Laboratory", "Quantitative studies illustrating chemical engineering principles. Emphasis on report writing and the interpretation of experimental data."
"Chemical Engineering Laboratory", "Quantitative studies illustrating chemical engineering principles. Emphasis on report writing and the interpretation of experimental data."
"Transfer Operations III", "Theory, design and application of separation processes with a focus on equilibrium stage operations. Integrated processes and new technologies will be examined."
"Plant Design and Economics I", "Elements of plant and process design integrating the principles learned in previous courses. Emphasis is on optimum economic design and the writing of reports."
"Plant Design and Economics II", "Elements of plant and process design integrating the principles learned in previous courses. Emphasis is on optimum economic design and the writing of reports."
"Biomaterials Engineering", "A biomaterial is any material designed to interact with a biological system. This course will examine the structure, properties, and processing of biomaterials in a wide variety of biomedical applications."
"Nuclear Reactor Engineering", "Energy production from nuclear reactions, cross sections, number density, and binding energy. Fission process, neutron life cycle, criticality, neutron diffusion, reactor design, reactor kinetics and control, reactivity feedback, nuclear system design."
"Power Plant System Design and Safety Analysis", "Energy production, power systems, energy conversion system design, safety engineering and design, phenomenological modeling and analysis, probabilistic risk assessment, risk-informed design, advanced power plant systems design."
"Nuclear Fuel Cycle and Performance", "Analysis and design of stages of the nuclear fuel cycle including mining, milling, conversion, enrichment, fuel fabrication, fuel burn-up, spent fuel interim storage, reprocessing, safety and aspects of high level waste."
"Nuclear Reactor Thermal-Hydraulics", "Nuclear heat generation, decay heat, heat transport, and conductive, convective, and phase change heat removal in nuclear reactor systems."
"Mechanics of Materials in Nuclear Applications", "Nuclear systems, material microstructure and mechanical properties, high temperature deformation mechanisms, radiation effects, reactor materials, materials selection for primary and secondary cycles."
"Special Problems", "Advanced work under the supervision of a faculty member arranged to suit the individual requirements of the student. "
"Special Problems", "Advanced work under the supervision of a faculty member arranged to suit the individual requirements of the student. "
"Graduate Seminar", "Seminars presented by speakers from academia and industry.a maximum of 1 credit per year allowed. May be repeated for a maximum of 2 credits. S/U credit."
"Graduate Seminar", "Seminars presented by speakers from academia and industry.a maximum of 1 credit per year allowed. May be repeated for a maximum of 2 credits. S/U credit."
"Dynamics of Chemical Engineering Applications", "Emphasizes analytical and/or numerical techniques commonly used in analysis arising from classical chemical engineering applications; necessary for understanding more complex problems."
"Advanced Chemical Engineering Thermodynamics I", "Applications of the first, second, and third laws of thermodynamics and their relation to chemical engineering processes. Emphasis on properties of fluids, chemical and physical equilibria, phase stability, and polymers."
"Polymer Experimental Methods", "Theory and practice of experimental methods used to characterize and process polymer systems. Characterizations include chemical, thermal, and mechanical analysis. Lectures discuss methods beyond those applied in lab."
"Polymer Chemistry", "Molecular weight distribution, polymer synthesis, chain conformation, solution properties and phase behavior, and characterization techniques."
"Polymer Engineering", "Glass and crystalline transitions, viscoelasticity, time-temperature superposition, polymer processing, and mechanical properties of plastics, fibers, and elastomers."
"Ceramic Engineering", "Properties of ceramic materials as related to starting materials and forming, densification, and finishing processes. Emphasis on resulting phases and microstructure. Application of physical and chemical principles to tailor properties to engineering needs."
"Corrosion and Corrosion Control", "Chemical nature of metals, electrochemical nature of corrosion. Types of corrosion, influence of environment, methods of corrosion control. Behavior of engineering materials in corrosion with emphasis on industrial and ocean environments."
"Advanced Materials Engineering", "Engineering properties, molecular design, and applications of materials. Synthesis, fabrication, and processing of materials. Effects of environment on materials, materials products, devices, and systems."
"Electron and Light Microscopy of Solids", "Theory and physical principles governing the design and use of light and electron optical systems in identification, analysis, and structural characterization of metals, ceramics, polymers, glasses, and composites. Emphasis on polarized light and scanning electron microscopy."
"Advanced Drug Delivery Systems", "The course will present the design and principles of advanced drug delivery systems, which have specified drug delivery profiles and significant advantages in therapeutics over conventional dosage forms."
"Transport Phenomena I", "Analysis of transport processes including momentum, heat and mass transfer. Development of mathematical models and their solutions."
"Advances in Interfacial Phenomena", "Topics will include capillarity, surface tension; surface thermodynamics, electrical aspects of surface chemistry; contact angles and wettability; emulsions and foams; adsorption from solutions; hydrodynamic stability of interfaces."
"Separations For Biotechnology", "A study of methods of concentration used in the biotechnology and pharmaceutical industries for production and isolation of products."
"Bionanotechnology", "Principles and applications of bionanotechnology. Intermolecular forces, self-assembly, biomolecular structure, biological processes, molecular manufacturing, and surface functionalization for designing biodevices and nanomaterials. Overview of current and emerging technologies, safety and ethics."
"Fabrication Engineering at the Micro and Nanoscale", "Chemical and physical processes used in the fabrication of microscale and nanoscale devices including MEMS. Particular emphasis on crystal growth, oxidation, CVD, PVD, plasma processing, lithography, diffusion, metallization and packaging."
"Reaction Engineering", "Homogeneous and heterogeneous reactions in reactor models. Kinetics of multiple reactions industrial reactor analysis. Mechanistic models of catalytic reactors. Mathematical methods for calculation of reactor performance."
"Research Methods in Engineering", "Provide experience, practice, and knowledge in engineering research methodology, including defining a research problem, writing a research paper, giving presentations, finding relevant literature, applying scientific knowledge in practice, ethics, professionalism."
"Biochemical Engineering I", "Application of chemical engineering principles to topics in bioprocessing and biotechnology, such as enzyme and cell-growth kinetics, enzyme and cell immobilization, bioreactors, medium sterilization."
"Process Engineering for Pollution Prevention", "Management of processes and development of techniques for waste minimization in the chemical process, machine tool coating, plating, plastics, and other industries."
"Seminar In Sensors And Surface Technology", "Students, faculty, and invited outside speakers present and discuss selected topics related to research interests of the Sensors and Surface Technology Partnership."
"Special Topics on Emerging Contaminants", "Introduction to emerging contaminants such as PFASs, focusing on their chemistry, detection, epidemiology, human health, metabolism, and remediation, as well as interdisciplinary collaboration, research translation, community engagement, and professional development."
"Special Problems", "Advanced work under the supervision of a faculty member arranged to suit the individual requirements of the student. "
"Special Problems", "Advanced work under the supervision of a faculty member arranged to suit the individual requirements of the student. "
"Master's Thesis Research", "Number of credits is determined each semester in consultation with the major professor. S/U credit."
"Advanced Chemical Engineering Thermodynamics II", "Advanced topics in phase stability, phase and chemical equilibrium, and statistical thermodynamics.3) "
"Transport Phenomena II", "Steady, unsteady, and multidimensional heat transfer. Mass transport at low and high fluxes; approximate methods for heat and mass transfer problems."
"Special Problems", "Advanced work under the supervision of a faculty member arranged to suit the individual requirements of the student. "
"Special Problems", "Advanced work under the supervision of a faculty member arranged to suit the individual requirements of the student. "
"Doctoral Dissertation Research", "Number of credits is determined each semester in consultation with the major professor or program committee. S/U credit."
"Basic Surveying", "This course focuses on teaching conventional survey techniques for field measurement and preparation of topographic maps and site plans"
"Mechanics of Materials", "Mechanical properties of materials; analysis of members under axial, torsional, and transverse loads; stress and strain; beam deflections, and introduction to statically-indeterminate beams and buckling of columns.Online) "
"Mechanics of Materials Laboratory", "Introduction to the physical and mechanical properties of civil engineering construction materials including steel, wood, and Portland cement concrete. Cement properties, mix design, testing of fresh and hardened concrete.3) "
"CADD for Civil Engineers", "Operating system issues, basic elements of Computer-Aided Design and Drafting (CADD): creation of 2-D and 3-D models, solid modeling, rendering and animation, applications of CADD in civil engineering design."
"Humanitarian Engineering", "Focuses on creating awareness about the challenges that under-served communities are facing locally and globally and how to solve them using appropriate and sustainable technologies."
"Humanitarian Engineering", "Humanitarian Engineering. Focuses on creating awareness about the challenges that under-served communities are facing locally and globally and how to solve them using appropriate and sustainable technologies."
"Connecting Dots: The Water-Energy-Health Nexus", "Focuses on inter-linkages between sustainable water practices, energy production and needs to ensure public health, and designing engineering systems to meet such demands in a changing global environment."
"Construction Management", "Introduction to construction planning; procedures involved in construction activities with major emphasis on heavy construction."
"Geomatics", "Technologies to obtain measurement data using level, transit, EDM, total station, and GPS instrument. Data collection, sorting, storage, analysis and presentation of data for civil engineering purposes. Practical surveying experiences."
"Transportation Engineering", "Concepts of transportation planning and design as well as traffic analysis techniques are covered with respect to Multi-Mode travel within transportation systems."
"Highway Engineering", "Design of modern highways and streets including planning, location, geometric layout, drainage structures, bituminous materials, pavement structure, construction, operation, maintenance and rehabilitation."
"Highway Engineering Laboratory", "Capacity analysis, computerized geometric design, soil resilient modulus, aggregates toughness, rheological properties of asphalt binder, Superpave asphalt mix-design, material input parameters for pavement design, pavement evaluation, and field trip."
"Structural Engineering", "Loads and load paths; analysis of statically determinate beams, trusses, frames; deflections of beams and trusses; influence lines; and indeterminate beams and trusses."
"Structural Engineering Laboratory", "Introduction to plane stress under combined loading, gravity and lateral loads, structural analysis and design software, structural instrumentation, and dynamics of structures."
"Hydraulic Engineering", "Applied hydraulics of flow in closed conduits and open channels: river and groundwater hydraulics. Analysis of hydraulic structures. Reservoir design. Principles of hydrology."
"Environmental Engineering", "Water supply and treatment systems, sewerage treatment of municipal and industrial waste waters, stream pollution, groundwater analysis, air pollution and disposal of solid waste materials."
"Environmental Engineering Laboratory", "Laboratory studies in environmental engineering and water resources. Measurement of environmental contaminants, closed conduit flow, and open channel flow. Treatment processes, pipe networks, and centrifugal pump characteristics. Computer implementation for design."
"Geotechnical Engineering", "Engineering properties of soils, seepage, consolidation theory, calculation of stresses, failure theories, shear strength of sand, shear strength of clay."
"Geotechnical Engineering Laboratory", "Laboratory studies of physical properties and behavior of soils: index properties, compaction, consolidation, and shear strength. Interpretation, evaluation, and engineering applications of test data."
"Civil Engineering Professional Licensure", "Preparation of students to take the civil engineering oriented Fundamentals of Engineering examination. Overview of the civil engineering licensure process and importance."
"Offshore Structure Design", "Introduction to offshore structures, structural modeling, structural dynamic analysis, structural design for storms, structural design against fatigue failure."
"Traffic Engineering", "LEC: Highway traffic characteristics and methods of providing for an effective, free, and rapid flow of traffic. Types of studies, regulations, control devices and aids, planning and administration."
"Intelligent Transportation Systems", "Traffic systems operations/planning strategies; Advanced Transportation Management Systems; Detection Devices; Benefits and Evaluation; In-Vehicle Navigation Theory; Real-Time Dynamic Routing Issues."
